specimen_id,genus,species,ref_pic,locality,formation,min_age,max_age,format,has_scale
Morzadec_2001_plate_15_3e,Walliserops,Walliserops trifurcatus,Morzadec 2001,Jbel Gara,Timrhanrhart Formation,Emsian,NA,xml,True
Morzadec_2001_plate_3_4a,Methacanthina,MethacanthiNAissoumourensis,Morzadec 2001,Jbel Issoumour,Ihandar Formation,Pragian,NA,xml,True
Morzadec_2001_plate_4_5a,Kayserops,Kayserops megaspina,Morzadec 2001,Mader,NA,Emsian,NA,xml,True
Morzadec_2001_plate_9_8a,Hollardops,Hollardops burtandmimiae,Morzadec 2001,Foum Zguid,Timrhanrhart Formation,Emsian,NA,xml,True
NGSFI5451,Winterbergia,Winterbergia waterhousei,Engel y Morris 1989,Lake Keepit,NA,late Tournasian,Visean,xml,True
NHM-It-19284,Eocryphops,Eocryphops albertii,Holloway 2005,NA,NA,Eifelian,NA,tps,False
NHMM-2016-006,Geesops,Geesops schlotheimi,Van Viersen et al 2017,Trilobitenfelder,Ahrdorf Formation,Eifelian,NA,tps,True
NHMM-2016-007,Adrisiops,Adrisiops weugi,VanViersen et al 2017b,NA,NA,Emsian,NA,tps,True
NHMM_2011_003,Ceratarges,Ceratarges aries,Van Viersen and Prescher 2011,Zireg,El Otfal Formation,Eifelian,NA,xml,True
NHMM_2016-055,Hottonops,Hottonops daumeriesi,VanViersen et al 2017a,NA,NA,Eifelian,NA,tps,False
NHMM_2016-057,Loreleiops,Loreleiops suffeleersi,VanViersen et al 2017a,NA,NA,Eifelian,NA,tps,False
NHMM_2016_006,,,,,,,,xml,True
NHMUK_It_2925_6,Eskoharpes,Eskoharpes sicarius,Johnson 2024,Bouia,Achguig,Early Frasnian,Early Frasnian,xml,True
NHM_It27126,Erbenochile,Erbenochile erbeni,Chatterton et al 2006,Jbel Gara el Zguilma,Timrhanrhart Formation,Emsian,NA,xml,True
NHM_It_28323,Paralejurus,Paralejurus brongniarti,Feist and Lerosey-Aubril 2010,El Achane,NA,Pragian,NA,xml,True
NHM_It_28960,Podoliproetus,Podoliproetus sinespina,Johnson and Fortey 2012,Erfoud,Ihandar Formation,Pragian,NA,xml,True
NIGPAS_21975,,,,,,,,xml,True
NM-9324,Ananaspis,Ananaspis fecunda,Chlupac 1977,Dlouhá hora,KopaniNAFormation,Ludlow,NA,tps,True
NM-IT-391a,Signatops,Signatops signatus,Chlupac 1977,NA,NA,Eifelian,NA,tps,True
NM-L-8917,Phacopidella,Phacopidella glockeri,Chlupac 1977,Lodenice,Liten Formation,Wenlock,NA,tps,True
NM-L-9332,Lochkovella,Lochkovella misera,Chlupac 1977,NA,NA,Lochkovian,NA,tps,True
NML_7943,Lochkovella,Lochkovella misera,Chlupac 1977,Kosor,Lochkov Formation,Lochkovian,NA,xml,True
NMNH245613,Deltacephalaspis,Deltacephalaspis comis,Eldredge and Branisa 1980,Curuyo,Gamoneda Formation,Pragian,NA,xml,True
